id,slug,full_name,first_name,middle_name,last_name,match_confidence
p51,bigornia-romualdo-p51,"BIGORNIA, ROMUALDO R.",ROMUALDO,R.,BIGORNIA,unverified_with_middle_name
p52,bisares-jovito-p52,"BISARES, JOVITO ASPACIO",JOVITO,ASPACIO,BISARES,unverified_with_middle_name
p53,bisares-mauro-p53,"BISARES, MAURO B.",MAURO,B.,BISARES,unverified_with_middle_name
p54,biscarra-rogelio-p54,"BISCARRA, ROGELIO B.",ROGELIO,B.,BISCARRA,unverified_with_middle_name
p55,biscarra-crisostomo-p55,"BISCARRA, CRISOSTOMO M.",CRISOSTOMO,M.,BISCARRA,unverified_with_middle_name
p56,bitana-dominador-d-p56,"BITANA, DOMINADOR D. CUEVA",DOMINADOR D.,CUEVA,BITANA,unverified_with_middle_name
p57,blando-misah-p57,"BLANDO, MISAH P.",MISAH,P.,BLANDO,unverified_with_middle_name
p58,bola-os-alejandro-p58,"BOLAÑOS, ALEJANDRO E.",ALEJANDRO,E.,BOLAÑOS,unverified_with_middle_name
p59,bragas-oscar-p59,"BRAGAS, OSCAR P.",OSCAR,P.,BRAGAS,unverified_with_middle_name
p60,brillantes-sidney-p60,"BRILLANTES, SIDNEY MAGNUAL",SIDNEY,MAGNUAL,BRILLANTES,unverified_with_middle_name
p61,bulaay-willy-sr-p61,"BULAAY, WILLY SR. T.",WILLY SR.,T.,BULAAY,unverified_with_middle_name
p62,bunagan-juanito-p62,"BUNAGAN, JUANITO BAGIAC",JUANITO,BAGIAC,BUNAGAN,unverified_with_middle_name
p63,buyag-genciano-p63,"BUYAG, GENCIANO E.",GENCIANO,E.,BUYAG,unverified_with_middle_name
p64,buyao-rolando-p64,"BUYAO, ROLANDO Q.",ROLANDO,Q.,BUYAO,unverified_with_middle_name
p65,cabudol-geronimo-p65,"CABUDOL, GERONIMO B.",GERONIMO,B.,CABUDOL,unverified_with_middle_name
p66,calla-ga-concesa-p66,"CALLAÑGA, CONCESA M.",CONCESA,M.,CALLAÑGA,unverified_with_middle_name
p67,callos-gregoria-p67,"CALLOS, GREGORIA AGUDAL",GREGORIA,AGUDAL,CALLOS,unverified_with_middle_name
p68,camaro-hector-p68,"CAMARO, HECTOR C.",HECTOR,C.,CAMARO,unverified_with_middle_name
p69,camiling-julie-p69,"CAMILING, JULIE BOGYOAN",JULIE,BOGYOAN,CAMILING,unverified_with_middle_name
p70,cari-o-roy-p70,"CARIÑO, ROY D.",ROY,D.,CARIÑO,unverified_with_middle_name
p71,cari-o-valentin-p71,"CARIÑO, VALENTIN P.",VALENTIN,P.,CARIÑO,unverified_with_middle_name
p72,cari-o-robert-p72,"CARIÑO, ROBERT C.",ROBERT,C.,CARIÑO,unverified_with_middle_name
p73,cari-o-arturo-p73,"CARIÑO, ARTURO B.",ARTURO,B.,CARIÑO,unverified_with_middle_name
p74,carpio-salvador-jr-p74,"CARPIO, SALVADOR JR. M.",SALVADOR JR.,M.,CARPIO,unverified_with_middle_name
p75,casigay-dionie-p75,"CASIGAY, DIONIE ALVAREZ",DIONIE,ALVAREZ,CASIGAY,unverified_with_middle_name
p76,casta-eda-peregrino-p76,"CASTAÑEDA, PEREGRINO A.",PEREGRINO,A.,CASTAÑEDA,unverified_with_middle_name
p77,castillo-eisenhower-p77,"CASTILLO, EISENHOWER B.",EISENHOWER,B.,CASTILLO,unverified_with_middle_name
p78,castro-mario-p78,"CASTRO, MARIO BERMILLO",MARIO,BERMILLO,CASTRO,unverified_with_middle_name
p79,celestino-carlos-p79,"CELESTINO, CARLOS B.",CARLOS,B.,CELESTINO,unverified_with_middle_name
p80,ciervo-rodrigo-sr-p80,"CIERVO, RODRIGO SR. DAYAG",RODRIGO SR.,DAYAG,CIERVO,unverified_with_middle_name
p81,cortez-emelito-p81,"CORTEZ, EMELITO TURQUEZA",EMELITO,TURQUEZA,CORTEZ,unverified_with_middle_name
p82,cortez-robert-pons-p82,"CORTEZ, ROBERT PONS L.",ROBERT PONS,L.,CORTEZ,unverified_with_middle_name
p83,daipan-benny-p83,"DAIPAN, BENNY M.",BENNY,M.,DAIPAN,unverified_with_middle_name
p84,dait-nilo-p84,"DAIT, NILO C.",NILO,C.,DAIT,unverified_with_middle_name
p85,dalieng-mailed-p85,"DALIENG, MAILED C.",MAILED,C.,DALIENG,unverified_with_middle_name
p86,dalipog-efren-p86,"DALIPOG, EFREN B.",EFREN,B.,DALIPOG,unverified_with_middle_name
p87,damasen-dedicacion-p87,"DAMASEN, DEDICACION FONTANILLA",DEDICACION,FONTANILLA,DAMASEN,unverified_with_middle_name
p88,damuasen-dionisio-p88,"DAMUASEN, DIONISIO JHON",DIONISIO,JHON,DAMUASEN,unverified_with_middle_name
p89,dangngay-fidel-p89,"DANGNGAY, FIDEL G.",FIDEL,G.,DANGNGAY,unverified_with_middle_name
p90,dela-cuadra-guillermo-p90,"DELA CUADRA, GUILLERMO B.",GUILLERMO,B.,DELA CUADRA,unverified_with_middle_name
p91,dela-pe-a-malven-p91,"DELA PEÑA, MALVEN C.",MALVEN,C.,DELA PEÑA,unverified_with_middle_name
p92,dickson-lea-p92,"DICKSON, LEA B.",LEA,B.,DICKSON,unverified_with_middle_name
p93,dizon-restituto-sr-p93,"DIZON, RESTITUTO SR. S.",RESTITUTO SR.,S.,DIZON,unverified_with_middle_name
p94,domingo-rolando-jr-p94,"DOMINGO, ROLANDO JR. L.",ROLANDO JR.,L.,DOMINGO,unverified_with_middle_name
p95,dugayen-benita-p95,"DUGAYEN, BENITA S.",BENITA,S.,DUGAYEN,unverified_with_middle_name
p96,dugayen-sonico-p96,"DUGAYEN, SONICO B.",SONICO,B.,DUGAYEN,unverified_with_middle_name
p97,dumlao-arnold-p97,"DUMLAO, ARNOLD TAYLAN",ARNOLD,TAYLAN,DUMLAO,unverified_with_middle_name
p98,duyao-dionisio-p98,"DUYAO, DIONISIO L.",DIONISIO,L.,DUYAO,unverified_with_middle_name
p99,ecobiza-felipe-p99,"ECOBIZA, FELIPE S.",FELIPE,S.,ECOBIZA,unverified_with_middle_name
p100,enon-pedro-sr-p100,"ENON, PEDRO SR. QUIDO",PEDRO SR.,QUIDO,ENON,unverified_with_middle_name
p101,eyon-isidra-p101,"EYON, ISIDRA C.",ISIDRA,C.,EYON,unverified_with_middle_name
p102,felicitas-amador-p102,"FELICITAS, AMADOR S.",AMADOR,S.,FELICITAS,unverified_with_middle_name
p103,festejo-victoria-p103,"FESTEJO, VICTORIA B.",VICTORIA,B.,FESTEJO,unverified_with_middle_name
p104,flores-roque-p104,"FLORES, ROQUE C.",ROQUE,C.,FLORES,unverified_with_middle_name
p105,gabaoen-osias-p105,"GABAOEN, OSIAS BISLY",OSIAS,BISLY,GABAOEN,unverified_with_middle_name
p106,garcia-vicente-p106,"GARCIA, VICENTE B.",VICENTE,B.,GARCIA,unverified_with_middle_name
p107,garde-frankie-sr-p107,"GARDE, FRANKIE SR. SILVA",FRANKIE SR.,SILVA,GARDE,unverified_with_middle_name
p108,gavino-maura-p108,"GAVINO, MAURA BERSALONA",MAURA,BERSALONA,GAVINO,unverified_with_middle_name
p109,gayyed-nilda-p109,"GAYYED, NILDA C.",NILDA,C.,GAYYED,unverified_with_middle_name
p110,gines-carmelo-p110,"GINES, CARMELO D.",CARMELO,D.,GINES,unverified_with_middle_name
p111,guibasan-winter-p111,"GUIBASAN, WINTER B.",WINTER,B.,GUIBASAN,unverified_with_middle_name
p112,guinaban-wilfredo-p112,"GUINABAN, WILFREDO B.",WILFREDO,B.,GUINABAN,unverified_with_middle_name
p113,guisoben-barbero-p113,"GUISOBEN, BARBERO A.",BARBERO,A.,GUISOBEN,unverified_with_middle_name
p114,guzman-brigida-p114,"GUZMAN, BRIGIDA T.",BRIGIDA,T.,GUZMAN,unverified_with_middle_name
p115,haynes-rolando-p115,"HAYNES, ROLANDO AGCALIS",ROLANDO,AGCALIS,HAYNES,unverified_with_middle_name
p116,haynes-rohemio-p116,"HAYNES, ROHEMIO P.",ROHEMIO,P.,HAYNES,unverified_with_middle_name
p117,hernandez-herbert-p117,"HERNANDEZ, HERBERT HONORIO",HERBERT,HONORIO,HERNANDEZ,unverified_with_middle_name
p118,hernandez-marcelino-jr-p118,"HERNANDEZ, MARCELINO JR. CARDENAS",MARCELINO JR.,CARDENAS,HERNANDEZ,unverified_with_middle_name
p119,isidro-oscar-p119,"ISIDRO, OSCAR W.",OSCAR,W.,ISIDRO,unverified_with_middle_name
p120,laguicao-guillermo-p120,"LAGUICAO, GUILLERMO B.",GUILLERMO,B.,LAGUICAO,unverified_with_middle_name
p121,lais-mendez-p121,"LAIS, MENDEZ B.",MENDEZ,B.,LAIS,unverified_with_middle_name
p122,lanas-amorsolo-p122,"LANAS, AMORSOLO B.",AMORSOLO,B.,LANAS,unverified_with_middle_name
p123,languia-armando-p123,"LANGUIA, ARMANDO B.",ARMANDO,B.,LANGUIA,unverified_with_middle_name
p124,layao-tomas-p124,"LAYAO, TOMAS PARIÑAS",TOMAS,PARIÑAS,LAYAO,unverified_with_middle_name
p125,layugan-michaela-p125,"LAYUGAN, MICHAELA BARROS",MICHAELA,BARROS,LAYUGAN,unverified_with_middle_name
p126,liberato-arsenio-p126,"LIBERATO, ARSENIO CALIBUSO",ARSENIO,CALIBUSO,LIBERATO,unverified_with_middle_name
p127,lingayo-eduardo-p127,"LINGAYO, EDUARDO B.",EDUARDO,B.,LINGAYO,unverified_with_middle_name
p128,linggayo-miguel-p128,"LINGGAYO, MIGUEL P.",MIGUEL,P.,LINGGAYO,unverified_with_middle_name
p129,linggayo-gertrudez-p129,"LINGGAYO, GERTRUDEZ B.",GERTRUDEZ,B.,LINGGAYO,unverified_with_middle_name
p130,lizalis-samuel-p130,"LIZALIS, SAMUEL I.",SAMUEL,I.,LIZALIS,unverified_with_middle_name
p131,llaneza-presinia-p131,"LLANEZA, PRESINIA B.",PRESINIA,B.,LLANEZA,unverified_with_middle_name
p132,lomioan-joshua-p132,"LOMIOAN, JOSHUA LAYUGAN",JOSHUA,LAYUGAN,LOMIOAN,unverified_with_middle_name
p133,lucero-ruth-p133,"LUCERO, RUTH V.",RUTH,V.,LUCERO,unverified_with_middle_name
p134,lumapag-julieto-p134,"LUMAPAG, JULIETO C.",JULIETO,C.,LUMAPAG,unverified_with_middle_name
p135,macario-miguel-p135,"MACARIO, MIGUEL L.",MIGUEL,L.,MACARIO,unverified_with_middle_name
p136,madriaga-arnulfo-p136,"MADRIAGA, ARNULFO M.",ARNULFO,M.,MADRIAGA,unverified_with_middle_name
p137,magallis-alberto-p137,"MAGALLIS, ALBERTO D.",ALBERTO,D.,MAGALLIS,unverified_with_middle_name
p138,maggonga-imelda-p138,"MAGGONGA, IMELDA A.",IMELDA,A.,MAGGONGA,unverified_with_middle_name
p139,manangbao-altenia-p139,"MANANGBAO, ALTENIA T.",ALTENIA,T.,MANANGBAO,unverified_with_middle_name
p140,manicag-orlando-p140,"MANICAG, ORLANDO C.",ORLANDO,C.,MANICAG,unverified_with_middle_name
p141,molina-ricardo-p141,"MOLINA, RICARDO B.",RICARDO,B.,MOLINA,unverified_with_middle_name
p142,molina-apolinar-p142,"MOLINA, APOLINAR BAROÑA",APOLINAR,BAROÑA,MOLINA,unverified_with_middle_name
p143,molina-fernando-jr-p143,"MOLINA, FERNANDO JR. B.",FERNANDO JR.,B.,MOLINA,unverified_with_middle_name
p144,molina-gabino-p144,"MOLINA, GABINO B.",GABINO,B.,MOLINA,unverified_with_middle_name
p145,munar-hector-p145,"MUNAR, HECTOR BACUNGAN",HECTOR,BACUNGAN,MUNAR,unverified_with_middle_name
p146,oca-ingrid-p146,"OCA, INGRID BUMACSA",INGRID,BUMACSA,OCA,unverified_with_middle_name
p147,omnas-eduardo-p147,"OMNAS, EDUARDO L.",EDUARDO,L.,OMNAS,unverified_with_middle_name
p148,ortega-miguel-jr-p148,"ORTEGA, MIGUEL JR. BAROÑA",MIGUEL JR.,BAROÑA,ORTEGA,unverified_with_middle_name
p149,pabrua-apolinario-p149,"PABRUA, APOLINARIO AGABAS",APOLINARIO,AGABAS,PABRUA,unverified_with_middle_name
p150,pacis-james-p150,"PACIS, JAMES N.",JAMES,N.,PACIS,unverified_with_middle_name
p151,pacsa-venerando-jr-p151,"PACSA, VENERANDO JR. AGUDAL",VENERANDO JR.,AGUDAL,PACSA,unverified_with_middle_name
p152,pacu-o-ernesto-jr-p152,"PACUÑO, ERNESTO JR. A.",ERNESTO JR.,A.,PACUÑO,unverified_with_middle_name
p153,padillon-fernando-p153,"PADILLON, FERNANDO M.",FERNANDO,M.,PADILLON,unverified_with_middle_name
p154,palecpec-amelia-p154,"PALECPEC, AMELIA ANICAL",AMELIA,ANICAL,PALECPEC,unverified_with_middle_name
p155,palecpec-conrado-p155,"PALECPEC, CONRADO P.",CONRADO,P.,PALECPEC,unverified_with_middle_name
p156,paligutan-adonis-p156,"PALIGUTAN, ADONIS BERONILLA",ADONIS,BERONILLA,PALIGUTAN,unverified_with_middle_name
p157,panabang-barcelon-p157,"PANABANG, BARCELON B.",BARCELON,B.,PANABANG,unverified_with_middle_name
p158,paned-tessie-p158,"PANED, TESSIE GUMANAB",TESSIE,GUMANAB,PANED,unverified_with_middle_name
p159,paned-alex-p159,"PANED, ALEX MAYER",ALEX,MAYER,PANED,unverified_with_middle_name
p160,parel-siegfried-p160,"PAREL, SIEGFRIED C.",SIEGFRIED,C.,PAREL,unverified_with_middle_name
p161,pascua-basiliso-p161,"PASCUA, BASILISO A.",BASILISO,A.,PASCUA,unverified_with_middle_name
p162,pataray-freddie-p162,"PATARAY, FREDDIE I.",FREDDIE,I.,PATARAY,unverified_with_middle_name
p163,peralta-fernando-p163,"PERALTA, FERNANDO N.",FERNANDO,N.,PERALTA,unverified_with_middle_name
p164,perez-benedicto-p164,"PEREZ, BENEDICTO P.",BENEDICTO,P.,PEREZ,unverified_with_middle_name
p165,pilarta-florante-sr-p165,"PILARTA, FLORANTE SR. ANGELS",FLORANTE SR.,ANGELS,PILARTA,unverified_with_middle_name
p166,pilarta-averell-p166,"PILARTA, AVERELL P.",AVERELL,P.,PILARTA,unverified_with_middle_name
p167,prieto-godofredo-p167,"PRIETO, GODOFREDO B.",GODOFREDO,B.,PRIETO,unverified_with_middle_name
p168,quibayen-jaime-p168,"QUIBAYEN, JAIME B.",JAIME,B.,QUIBAYEN,unverified_with_middle_name
p169,quiday-german-p169,"QUIDAY, GERMAN APUADO",GERMAN,APUADO,QUIDAY,unverified_with_middle_name
p170,ramirez-orlino-p170,"RAMIREZ, ORLINO P.",ORLINO,P.,RAMIREZ,unverified_with_middle_name
p171,reyes-primo-p171,"REYES, PRIMO LACANGAN",PRIMO,LACANGAN,REYES,unverified_with_middle_name
p172,reymundo-edgar-p172,"REYMUNDO, EDGAR A.",EDGAR,A.,REYMUNDO,unverified_with_middle_name
p173,roberto-marcelino-p173,"ROBERTO, MARCELINO L.",MARCELINO,L.,ROBERTO,unverified_with_middle_name
p174,rubio-prospero-jr-p174,"RUBIO, PROSPERO JR. B.",PROSPERO JR.,B.,RUBIO,unverified_with_middle_name
p175,sabado-floro-p175,"SABADO, FLORO W.",FLORO,W.,SABADO,unverified_with_middle_name
p176,sabedo-wilmer-p176,"SABEDO, WILMER F.",WILMER,F.,SABEDO,unverified_with_middle_name
p177,sacwed-isaias-p177,"SACWED, ISAIAS P.",ISAIAS,P.,SACWED,unverified_with_middle_name
p178,sagasag-rodolfo-p178,"SAGASAG, RODOLFO B.",RODOLFO,B.,SAGASAG,unverified_with_middle_name
p179,sagmayao-godofredo-p179,"SAGMAYAO, GODOFREDO B.",GODOFREDO,B.,SAGMAYAO,unverified_with_middle_name
p180,salaes-judor-p180,"SALAES, JUDOR P.",JUDOR,P.,SALAES,unverified_with_middle_name
p181,sanidad-excel-p181,"SANIDAD, EXCEL P.",EXCEL,P.,SANIDAD,unverified_with_middle_name
p182,santiago-rodolfo-p182,"SANTIAGO, RODOLFO M.",RODOLFO,M.,SANTIAGO,unverified_with_middle_name
p183,saoadan-federico-p183,"SAOADAN, FEDERICO G.",FEDERICO,G.,SAOADAN,unverified_with_middle_name
p184,sarmiento-eduardo-p184,"SARMIENTO, EDUARDO B.",EDUARDO,B.,SARMIENTO,unverified_with_middle_name
p185,seares-loreto-jr-p185,"SEARES, LORETO JR. P.",LORETO JR.,P.,SEARES,unverified_with_middle_name
p186,segundo-joseph-p186,"SEGUNDO, JOSEPH G.",JOSEPH,G.,SEGUNDO,unverified_with_middle_name
p187,siddayao-crisostomo-p187,"SIDDAYAO, CRISOSTOMO B.",CRISOSTOMO,B.,SIDDAYAO,unverified_with_middle_name
p188,stimson-danilo-p188,"STIMSON, DANILO S.",DANILO,S.,STIMSON,unverified_with_middle_name
p189,ta-a-raymond-p189,"TA-A, RAYMOND B.",RAYMOND,B.,TA-A,unverified_with_middle_name
p190,tabbenan-victorino-p190,"TABBENAN, VICTORINO B.",VICTORINO,B.,TABBENAN,unverified_with_middle_name
p191,tadeo-alexander-p191,"TADEO, ALEXANDER PERALTA",ALEXANDER,PERALTA,TADEO,unverified_with_middle_name
p192,tadeo-restituto-p192,"TADEO, RESTITUTO SEBERANO",RESTITUTO,SEBERANO,TADEO,unverified_with_middle_name
p193,taeza-wilfredo-p193,"TAEZA, WILFREDO DUQUE",WILFREDO,DUQUE,TAEZA,unverified_with_middle_name
p194,tagudar-remigio-p194,"TAGUDAR, REMIGIO BOLANTE",REMIGIO,BOLANTE,TAGUDAR,unverified_with_middle_name
p195,talingdan-romulo-p195,"TALINGDAN, ROMULO P.",ROMULO,P.,TALINGDAN,unverified_with_middle_name
p196,talingdan-rogelio-p196,"TALINGDAN, ROGELIO PUDOL",ROGELIO,PUDOL,TALINGDAN,unverified_with_middle_name
p197,talledo-wardelito-p197,"TALLEDO, WARDELITO B.",WARDELITO,B.,TALLEDO,unverified_with_middle_name
p198,tangco-marivic-procesa-p198,"TANGCO, MARIVIC PROCESA C.",MARIVIC PROCESA,C.,TANGCO,unverified_with_middle_name
p199,tejero-teresita-p199,"TEJERO, TERESITA T.",TERESITA,T.,TEJERO,unverified_with_middle_name
p200,timmangen-limuel-p200,"TIMMANGEN, LIMUEL M.",LIMUEL,M.,TIMMANGEN,unverified_with_middle_name
p201,tingday-samuel-p201,"TINGDAY, SAMUEL BALUCAS",SAMUEL,BALUCAS,TINGDAY,unverified_with_middle_name
p202,tolentino-mauricio-sr-p202,"TOLENTINO, MAURICIO SR. VILLANUEVA",MAURICIO SR.,VILLANUEVA,TOLENTINO,unverified_with_middle_name
p203,torres-gerardo-p203,"TORRES, GERARDO T.",GERARDO,T.,TORRES,unverified_with_middle_name
p204,trinidad-marino-p204,"TRINIDAD, MARINO B.",MARINO,B.,TRINIDAD,unverified_with_middle_name
p205,tuanquin-marino-p205,"TUANQUIN, MARINO C.",MARINO,C.,TUANQUIN,unverified_with_middle_name
p206,tuazon-alexander-p206,"TUAZON, ALEXANDER C.",ALEXANDER,C.,TUAZON,unverified_with_middle_name
p207,valencia-sarah-jane-p207,"VALENCIA, SARAH JANE I.",SARAH JANE,I.,VALENCIA,unverified_with_middle_name
p208,valencia-josefino-p208,"VALENCIA, JOSEFINO FUENTES",JOSEFINO,FUENTES,VALENCIA,unverified_with_middle_name
p209,valencia-jesus-p209,"VALENCIA, JESUS P.",JESUS,P.,VALENCIA,unverified_with_middle_name
p210,valencia-nora-p210,"VALENCIA, NORA WAYAWAY",NORA,WAYAWAY,VALENCIA,unverified_with_middle_name
p211,valera-claro-p211,"VALERA, CLARO B.",CLARO,B.,VALERA,unverified_with_middle_name
p212,vergara-juanita-p212,"VERGARA, JUANITA A.",JUANITA,A.,VERGARA,unverified_with_middle_name
p213,viernes-rebecca-p213,"VIERNES, REBECCA A.",REBECCA,A.,VIERNES,unverified_with_middle_name
p214,wilbur-nonito-p214,"WILBUR, NONITO P.",NONITO,P.,WILBUR,unverified_with_middle_name
p215,zapata-iluminada-p215,"ZAPATA, ILUMINADA B.",ILUMINADA,B.,ZAPATA,unverified_with_middle_name
p216,valera-vicente-p216,"VALERA, VICENTE P.",VICENTE,P.,VALERA,unverified_with_middle_name
p217,abbago-sotero-p217,"ABBAGO, SOTERO INAGAPAD",SOTERO,INAGAPAD,ABBAGO,unverified_with_middle_name
p218,baawa-mario-p218,"BAAWA, MARIO AGYAO",MARIO,AGYAO,BAAWA,unverified_with_middle_name
p219,balao-as-benido-p219,"BALAO-AS, BENIDO L.",BENIDO,L.,BALAO-AS,unverified_with_middle_name
p220,baro-a-leo-sr-p220,"BAROÑA, LEO SR. B.",LEO SR.,B.,BAROÑA,unverified_with_middle_name
p221,bayle-andres-p221,"BAYLE, ANDRES D.",ANDRES,D.,BAYLE,unverified_with_middle_name
p222,benwaren-clarence-p222,"BENWAREN, CLARENCE L.",CLARENCE,L.,BENWAREN,unverified_with_middle_name
p223,bernardez-rodolfo-iv-p223,"BERNARDEZ, RODOLFO IV A.",RODOLFO IV,A.,BERNARDEZ,unverified_with_middle_name
p224,bernos-marc-ysrael-p224,"BERNOS, MARC YSRAEL B.",MARC YSRAEL,B.,BERNOS,unverified_with_middle_name
p225,cardenas-garde-p225,"CARDENAS, GARDE H.",GARDE,H.,CARDENAS,unverified_with_middle_name
p226,castillo-felix-p226,"CASTILLO, FELIX ANGELES",FELIX,ANGELES,CASTILLO,unverified_with_middle_name
